id,car_id,make,model,year_of_manufacture,color,condition,mileage,engine_size,registered_city,selling_condition,bought_condition,city,price,body_type,fuel_type,transmission
1,jEY4wdZx3EkjIDeYRRPPd7TFr8vut0v,Mercedes-Benz,M Class,2014,White,Nigerian Used,69224.0,4700.0,LAGOS,Registered,Imported,Lekki,21375000,SUV,Petrol,Automatic
2,jEY4wdZxVSwe7y8WhN00eLffcSCE8Wp,Toyota,Camry,2011,Gray,Nigerian Used,197653.0,2500.0,Lagos,Registered,Imported,Ajah,8100000,,Petrol,Automatic
3,jlCs49Pn1XVA47Rar1tSAf4fMcIoSj,Lexus,RX 350,2009,Silver,Nigerian Used,307815.0,3500.0,Lagos,Registered,Imported,Lekki,11250000,SUV,Petrol,Automatic
4,jEY4wdZneOhmdvapWzfrhlj2A5YlDQU,Ford,Explorer,2007,Black,Nigerian Used,95571.0,4000.0,0,Registered,Registered,Ibeju,3937500,SUV,Petrol,Automatic
5,jEY4wdZos2dwk0dl6qFdZER8f34EcQK,Porsche,Cayenne,2012,Black,Nigerian Used,53911.0,3600.0,LAGOS,Registered,Imported,Lekki,30375000,SUV,Petrol,Automatic
6,jEY4wdZOn9x5qk8b6D8LX3UGbPHpwCl,Lexus,ES,2008,Blue,Nigerian Used,234257.0,3500.0,ENUGU,Registered,Imported,Enugu,7087500,,Petrol,Automatic
7,jEY4wdZZipcJoZtftOj8aeK0B1Q3JsD,Toyota,Yaris,2007,Gray,Nigerian Used,128143.0,1500.0,LAGOS,Registered,Registered,Ibadan,3375000,,Petrol,Automatic
8,jEY4wdZqQEsSDVweYuBDKeMkfiXEulu,Toyota,Corolla,2008,Black,Nigerian Used,102316.0,1800.0,Lagos,Registered,Imported,Alimosho,6412500,,Petrol,Automatic
9,jEY4wdZMuR7roiWpbKKAbnDOtVfodXK,Volkswagen,Passat,2009,Silver,Nigerian Used,183646.0,2000.0,,Registered,Registered,Ikorodu,4500000,Sedan,Petrol,Automatic
10,jEY4wdZJdn9HdLywSuNjJLmYtT3OusZ,Honda,Civic,2008,Blue,Nigerian Used,183457.0,1800.0,LAGOS,Registered,Brand new,Isolo,4500000,,Petrol,Automatic
11,jEY4wdZSRp7dj019hHsZQeq4bbjlm1S,Mercedes-Benz,M Class,2014,White,Foreign Used,256290.0,3500.0,,Imported,Imported,Amuwo-Odofin,32062500,SUV,Petrol,Automatic
12,jEY4wdZnAKfMOoy2Ta5ZLa6S2MgrzXt,Lexus,ES,2014,Brown,Foreign Used,128188.0,3500.0,,Imported,Imported,Abeokuta North,23062500,,Petrol,Automatic
13,jlCs49Q66aaTHc72RJO0FMcbOvIn6n,Mercedes-Benz,M Class,2008,Gold,Nigerian Used,297904.0,3500.0,,Registered,Imported,Gudu,10125000,SUV,Petrol,Automatic
